date,DJIA,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
1/31/14,-0.034388785,-0.065573835,-0.022646218,-0.10973718,0.05845075,-0.012618358,-0.063899401,-0.00900774,-0.066863617,-0.050882965,-0.040616663,-0.037647145,-0.063809735,-0.040554758,-0.04325806,-0.006959694,-0.048188354,-0.002823844,0.081761103,-0.030991892,-0.004584155,-0.035131644,-0.058605109,-0.022450783,0.010815681,-0.015851985,0.021050346,-0.0473422,-0.036262505,-0.064840167
2/28/14,0.039675541,0.057510622,0.073629887,0.035024237,0.032584472,-0.005020471,0.042322318,0.112932093,0.017620178,0.067403932,0.053798323,0.018586358,0.048749333,0.026372916,0.010047683,0.019014381,0.057923687,0.075892155,0.020012533,0.081430551,0.065057789,0.026625366,0.0314957,0.069037106,0.031699988,0.056388428,-0.009162741,0.196238044,0.00026796,0.051994583
3/31/14,0.008329409,0.01995296,-0.013694343,-0.026605661,0.024750048,0.028440137,0.031041196,-0.009157229,-0.015619965,-0.029803839,0.039531624,0.042406863,0.066326725,0.06846181,0.020060237,0.030268078,0.006902993,0.003915149,0.069956004,-0.056705174,0.000311434,0.024663066,0.02108003,0.064918086,-0.001538379,-0.044613699,-0.00021019,-0.028256044,0.029760237,0.014646411
4/30/14,0.007484642,0.099396267,-0.026422891,0.028129733,0.066927706,0.039586408,0.055588404,-0.009116889,-0.024595786,0.004801887,0.020676304,0.034095591,0.031151327,-0.072099571,0.055095732,0.034173005,0.025283621,0.031530576,-0.01439402,-0.012320569,-0.026151908,0.032370914,0.064394835,-0.084766334,0.012752939,-0.061382303,-0.006718035,0.028320455,0.042914724,0.048423571
5/30/14,0.008222146,0.07870922,0.046551528,0.054169283,-0.030075869,0.065339555,-0.013399058,0.058860445,0.003348303,0.009055829,-0.056174526,0.032399885,0.008659455,-0.007324093,0.002942043,0.008557748,0.031163088,-0.011953546,0.020515129,0.06096096,-0.044306223,-0.021320368,0.031684492,0.061167274,-0.012927107,0.068373817,0.069120645,0.064003323,-0.030920818,-0.011693065
6/30/14,0.006545946,0.027662002,0.036830485,-0.059297592,0.062995121,0.009342173,0.063197362,0.020592799,0.047744531,0.014999638,-0.016760759,0.131039495,0.031145328,0.036890297,0.043230706,-0.006802697,0.004840422,0.007363898,0.018564027,0.00832138,0.001687468,-0.027231261,0.012498733,0.03144761,-0.006625505,-0.01917773,-0.020616643,0.030871704,-0.022143807,0.001492157
7/31/14,-0.015647774,0.028731373,-0.069857603,-0.053053681,-0.067018739,0.023041864,-0.010034574,0.001632853,0.032429474,-0.00135889,0.057372852,0.09676368,-0.043299474,0.007864566,-0.072474045,-0.061346056,-0.016406013,-0.019187604,0.035012162,-0.005415713,-0.024487339,-0.008305376,-0.047943306,-0.008562334,-0.08921598,0.001423496,0.041547633,-0.072305279,-0.019848304,-0.017282593
8/29/14,0.032309287,0.07750875,0.017613564,0.058830654,0.08258077,-0.009512327,0.010138076,0.046576455,0.039309891,0.156462765,0.009220366,0.037246517,0.043377272,0.030865334,0.061848006,0.008347956,0.028167828,0.059393948,0.059168974,0.030856983,0.024041506,0.074884068,0.057503262,0.069463202,0.032721809,0.014877513,-0.011900103,-0.115146761,0.032853678,0.012258769
9/30/14,-0.003248764,-0.017073174,-0.022445702,0.004574064,-0.092051044,0.014879022,-0.078253951,-0.009457009,0.024900709,-0.013866645,-0.012844458,-0.002863711,0.027571354,0.013288583,0.029980411,0.011630006,-0.016110869,-0.00661434,0.020471069,0.135582515,0.006124532,0.007580127,-0.002305354,-0.000729438,-0.022041585,0.003999608,0.003412452,-0.020654124,0.012847968,-0.054393892
10/31/14,0.020396713,0.071960008,0.030591417,-0.019390677,0.031833882,-0.027810988,0.005279945,0.026395781,0.034972959,0.063004416,-0.133961908,-0.023262376,0.011164198,0.010748087,-0.018284338,-0.011390845,0.085333302,-0.022604633,0.012726418,0.042264551,0.012850917,0.050142289,0.073025293,0.101565253,0.013258161,0.131508557,0.016454076,0.08351597,-0.002615369,0.028282862
11/28/14,0.025170076,0.105978819,0.027459466,0.081930689,-0.007987349,0.129546381,-0.083954703,0.012365916,-0.00514979,0.019278011,-0.00681298,0.102447714,0.010902171,-0.00529094,0.077838939,0.041991173,0.046688383,0.042457741,0.024740323,0.067978635,0.04907471,0.036209596,0.036210381,0.038101103,0.034422315,0.077705444,0.006766193,0.07374036,0.147764408,-0.057039841
12/31/14,-0.000289985,-0.071890899,0.006708747,-0.032598991,-0.0901589,0.0065125,0.03040309,0.031101057,0.028767,0.061079678,-0.010667933,-0.02577185,-0.03399552,0.040226114,-0.058220133,-0.032124974,0.026422515,-0.052660964,-0.02844626,-0.026039446,0,0.007298282,0.018729505,0.028806319,0.044694693,0.015531158,-0.075311471,0.110624842,-0.013481941,0.021095763
1/30/15,-0.036925237,0.06142421,-0.130186988,0.118402943,-0.119133482,-0.045602603,-0.086022487,-0.034292505,-0.110509165,-0.005239426,-0.044440485,-0.089556568,-0.042363912,-0.125442173,-0.024870195,-0.013447169,-0.012293144,0.061454604,-0.130247361,-0.040561615,0.003210109,-0.068073881,-0.028625179,0.051043779,-0.001912901,-0.027803103,-0.011313216,-0.032152222,-0.010479684,-0.054407956
2/27/15,0.056379427,0.100776509,0.011153587,0.04411503,0.036638948,0.119074525,0.050698318,0.144239179,0.104261902,0.098927291,0.063701146,0.013574408,0.030832668,0.126884612,0.0517374,0.07918107,0.045588182,-0.02886519,0.093120306,0.05891621,0.10792852,0.009965305,0.044932918,0.069458811,0.06784257,0.072117258,0.08182038,0.131290731,-0.01235581,0.020435275
3/31/15,-0.01966503,-0.031371719,-0.039329325,-0.005104358,-0.034620115,-0.059956304,-0.015935471,0.007782528,-0.009589396,-0.004840229,-0.008892336,-0.05954888,-0.018632377,-0.011422981,-0.055739961,-0.014762395,-0.02193899,-0.010161742,-0.072748079,0.03305165,0.013694571,-0.037471905,0.01159254,0.044493213,-0.038634985,-0.03564175,-0.016582336,0.019258465,-0.014130836,-0.039981877
