DATE,T10Y2Y
2013-01-01,1.6495238095238095
2013-02-01,1.7168421052631579
2013-03-01,1.7015000000000000
2013-04-01,1.5268181818181818
2013-05-01,1.6777272727272727
2013-06-01,1.9665000000000000
2013-07-01,2.2413636363636364
2013-08-01,2.3809090909090909
2013-09-01,2.4055000000000000
2013-10-01,2.2804545454545455
2013-11-01,2.4147368421052632
2013-12-01,2.5619047619047619
2014-01-01,2.4642857142857143
2014-02-01,2.3826315789473684
2014-03-01,2.3242857142857143
2014-04-01,2.2880952380952381
2014-05-01,2.1700000000000000
2014-06-01,2.1461904761904762
2014-07-01,2.0359090909090909
2014-08-01,1.9476190476190476
2014-09-01,1.9676190476190476
2014-10-01,1.8586363636363636
2014-11-01,1.7983333333333333
2014-12-01,1.5718181818181818
2015-01-01,1.3300000000000000
2015-02-01,1.3563157894736842
2015-03-01,1.4022727272727273
2015-04-01,1.3950000000000000
2015-05-01,1.5885000000000000
2015-06-01,1.6750000000000000
2015-07-01,1.6568181818181818
2015-08-01,1.4695238095238095
2015-09-01,1.4595238095238095
2015-10-01,1.4252380952380952
2015-11-01,1.3784210526315789
2015-12-01,1.2600000000000000
2016-01-01,1.1857894736842105
2016-02-01,1.04600000000000000000
2016-03-01,1.01409090909090909091
2016-04-01,1.03714285714285714286
2016-05-01,0.99000000000000000000
2016-06-01,0.91272727272727272727
2016-07-01,0.83150000000000000000
2016-08-01,0.81913043478260869565
2016-09-01,0.85952380952380952381
2016-10-01,0.92150000000000000000
2016-11-01,1.1625000000000000
2016-12-01,1.2952380952380952
2017-01-01,1.2260000000000000
2017-02-01,1.2178947368421053
2017-03-01,1.1686956521739130
2017-04-01,1.0563157894736842
2017-05-01,1.00181818181818181818
2017-06-01,0.84454545454545454545
2017-07-01,0.94550000000000000000
2017-08-01,0.87391304347826086957
2017-09-01,0.81750000000000000000
2017-10-01,0.81047619047619047619
2017-11-01,0.65666666666666666667
2017-12-01,0.55850000000000000000
2018-01-01,0.55190476190476190476
2018-02-01,0.68368421052631578947
2018-03-01,0.56666666666666666667
2018-04-01,0.48476190476190476190
2018-05-01,0.46590909090909090909
2018-06-01,0.37904761904761904762
2018-07-01,0.28238095238095238095
2018-08-01,0.25347826086956521739
2018-09-01,0.23631578947368421053
2018-10-01,0.29136363636363636364
2018-11-01,0.25800000000000000000
2018-12-01,0.15631578947368421053
